,City,Lat,Lng,Max Temp (F),Humidity,Wind Speed,Cloudiness,Country,Date
0,punta arenas,-53.15,-70.9167,37.51,81,17.27,20,CL,1635042253
1,barrow,71.2906,-156.7887,30.22,80,13.8,90,US,1635042323
2,eyl,7.9803,49.8164,76.68,79,7.07,6,SO,1635042451
3,bredasdorp,-34.5322,20.0403,49.32,81,4.61,59,ZA,1635042320
4,luderitz,-26.6481,15.1594,56.61,69,16.33,0,NA,1635042436
5,mar del plata,-38.0023,-57.5575,53.01,71,1.99,20,AR,1635042451
6,dikson,73.5069,80.5464,9.25,87,14.74,100,RU,1635042305
7,sisimiut,66.9395,-53.6735,23.49,92,7.34,100,GL,1635042398
8,busselton,-33.65,115.3333,76.05,58,6.35,99,AU,1635042321
9,atuona,-9.8,-139.0333,78.13,78,18.1,15,PF,1635042357
10,pacific grove,36.6177,-121.9166,62.71,79,1.01,90,US,1635042452
11,norman wells,65.282,-126.8329,32.04,80,0.0,75,CA,1635042452
12,bluff,-46.6,168.3333,52.77,92,4.76,100,NZ,1635042453
13,hilo,19.7297,-155.09,80.33,70,8.05,20,US,1635042453
14,faanui,-16.4833,-151.75,78.12,81,13.49,74,PF,1635042453
15,kapaa,22.0752,-159.319,84.18,77,3.0,40,US,1635042454
16,nantucket,41.2835,-70.0995,57.31,65,11.5,1,US,1635042454
17,east london,-33.0153,27.9116,59.05,66,16.62,16,ZA,1635042454
18,ust-nera,64.5667,143.2,6.37,93,5.3,86,RU,1635042455
19,constitucion,-35.3333,-72.4167,50.43,87,13.2,0,CL,1635042285
20,lorengau,-2.0226,147.2712,85.06,70,10.31,98,PG,1635042455
21,mataura,-46.1927,168.8643,67.66,55,1.54,99,NZ,1635042294
22,rikitea,-23.1203,-134.9692,74.91,80,19.13,100,PF,1635042224
23,kaeo,-35.1,173.7833,66.33,98,5.5,63,NZ,1635042420
24,saint-augustin,51.226,-58.6502,40.84,94,12.66,100,CA,1635042456
25,port alfred,-33.5906,26.891,57.25,72,14.85,19,ZA,1635042456
26,torbay,47.6666,-52.7314,59.77,95,12.66,90,CA,1635042322
27,hermanus,-34.4187,19.2345,53.91,70,3.51,26,ZA,1635042254
28,masuguru,-11.3667,38.4167,72.5,79,4.52,92,TZ,1635042457
29,ushuaia,-54.8,-68.3,33.46,86,12.66,75,AR,1635042226
30,sao filipe,14.8961,-24.4956,78.75,70,10.0,7,CV,1635042457
31,lima,-12.0432,-77.0282,62.91,80,14.97,40,PE,1635042344
32,poum,-20.2333,164.0167,74.19,77,6.98,33,NC,1635042457
33,reconquista,-29.15,-59.65,58.26,94,5.82,0,AR,1635042458
34,avarua,-21.2078,-159.775,75.25,53,6.91,75,CK,1635042311
35,morant bay,17.8815,-76.4093,83.82,83,9.51,68,JM,1635042408
36,castro,-24.7911,-50.0119,58.24,97,12.24,100,BR,1635042307
37,port elizabeth,-33.918,25.5701,55.69,76,12.66,0,ZA,1635042458
38,barmer,25.75,71.3833,72.81,79,10.76,0,IN,1635042458
39,chabahar,25.2919,60.643,76.12,79,7.18,0,IR,1635042406
40,szczecinek,53.7079,16.6994,34.79,88,5.03,87,PL,1635042459
41,alofi,-19.0595,-169.9187,78.69,50,19.57,98,NU,1635042326
42,lompoc,34.6391,-120.4579,63.57,83,23.0,1,US,1635042035
43,tofield,53.3668,-112.6686,37.38,76,8.05,100,CA,1635042459
44,san patricio,28.017,-97.5169,78.89,71,9.24,1,US,1635042460
45,bakchar,57.0186,82.0711,45.99,80,13.96,100,RU,1635042460
46,albany,42.6001,-73.9662,47.8,77,1.01,83,US,1635042300
47,vaini,-21.2,-175.2,78.96,73,9.22,20,TO,1635042227
48,kulhudhuffushi,6.6221,73.07,81.54,77,12.12,100,MV,1635042461
49,vrangel,42.7297,133.0839,53.62,44,7.61,0,RU,1635042400
50,ginir,7.1333,40.7,55.02,54,6.38,8,ET,1635042461
51,nikolskoye,59.7035,30.7861,34.39,89,8.99,75,RU,1635042347
52,de aar,-30.6497,24.0123,46.06,68,13.94,0,ZA,1635042462
53,nieuw amsterdam,5.8833,-55.0833,78.03,89,9.37,100,SR,1635042462
54,karratha,-20.7377,116.8463,93.42,19,13.85,9,AU,1635042462
55,kodiak,57.79,-152.4072,43.34,84,24.2,97,US,1635041998
56,repnoye,51.5921,43.1861,39.43,77,8.14,9,RU,1635042463
57,galesong,-5.3166,119.3661,86.02,63,2.1,40,ID,1635042463
58,loanda,-8.8368,13.2343,75.2,83,8.05,75,AO,1635042464
59,visnes,59.3556,5.2242,52.57,87,18.41,75,NO,1635042464
60,masyaf,35.0653,36.3406,58.91,83,2.95,0,SY,1635042464
61,maniitsoq,65.4167,-52.9,26.24,48,5.61,100,GL,1635042311
